#StationName;Latitude;Longitude;Height;
WIDC00USA;33.935;-116.392;445.462;
WILL00CAN;52.237;-122.168;1096.093;
WIND00NAM;-22.575;17.089;1735.083;
WLSN00USA;34.226;-118.056;1705.679;
WROC00POL;51.113;17.062;180.697;
WSRT00NLD;52.915;6.605;86.424;
WTZ300DEU;49.145;12.879;663.837;
WTZA00DEU;49.144;12.879;666.35;
WTZR00DEU;49.144;12.879;666.462;
WTZS00DEU;49.145;12.879;663.837;
WTZZ00DEU;49.144;12.879;666.322;
WUH200CHN;30.532;114.357;25.541;
WUHN00CHN;30.532;114.357;28.635;
XMIS00AUS;-10.45;105.689;261.917;
YAKT00RUS;62.031;129.68;103.813;
YAR200AUS;-29.047;115.347;241.685;
YAR300AUS;-29.046;115.347;242.855;
YARR00AUS;-29.047;115.347;241.756;
YEBE00ESP;40.525;-3.089;973.249;
YEL200CAN;62.481;-114.481;181.452;
YELL00CAN;62.481;-114.481;181.168;
YIBL00OMN;22.186;56.112;95.529;
YKRO00CIV;6.871;-5.24;270.584;
YONS00KOR;37.541;127.001;97.27;
YSSK00RUS;47.03;142.717;91.719;
ZAMB00ZMB;-15.426;28.311;1325.318;
ZECK00RUS;43.788;41.565;1167.416;
ZIM200CHE;46.877;7.465;956.881;
ZIM300CHE;46.877;7.465;956.881;
ZIMM00CHE;46.877;7.465;956.782;
